"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"Mcavernosa25676-RA",0.638816303590767,2.67415138331103,1.43565952528877,0.230843017065726,0.597224565178458,1,"Stable","Stable"
"Mcavernosa25705-RA",0.533055504450188,2.66923371417167,1.31465466201125,0.251553629617435,0.597224565178458,1,"Stable","Stable"
"Mcavernosa25706-RA",-2.24741125786865,4.9169481140746,3.4111428942561,0.0647575816407893,0.555725775133094,1,"Stable","Stable"
"Mcavernosa25708-RA",-1.11710256455266,5.94310821549639,1.420149643405,0.233378774078586,0.597224565178458,1,"Stable","Stable"
"Mcavernosa25710-RA",0.384897440043269,2.87720550041067,0.038536868562848,0.844369024972623,0.946866571990925,1,"Stable","Stable"
"Mcavernosa25711-RA",0.678215009860638,8.0612111530976,0.535604927258728,0.464259916565555,0.738650722178664,1,"Stable","Stable"
"Mcavernosa25726-RA",-1.13655822426412,2.78702279798336,0.509152540199455,0.475505945232048,0.745018547546555,1,"Stable","Stable"
"Mcavernosa25727-RA",-1.08985294117942,5.43583412806667,1.23146203865062,0.267122894688903,0.612103572097421,1,"Stable","Stable"
"Mcavernosa25729-RA",1.45775355571386,2.73046432493601,3.15806700486252,0.0755525937661467,0.557251689217917,1,"Stable","Stable"
"Mcavernosa25730-RA",-1.21774741304428,5.59658193569549,1.59557774487719,0.206531036333413,0.597224565178458,1,"Stable","Stable"
"Mcavernosa25731-RA",-0.777954152867272,2.92518221787344,0.223743298403727,0.636202396023397,0.849813447469556,1,"Stable","Stable"
"Mcavernosa25744-RA",0.0604530855071909,2.68002226051635,0.0126017117373385,0.91061936090618,0.976605828627419,1,"Stable","Stable"
"Mcavernosa25849-RA",-1.27969371189269,3.86643981542619,0.54654846574565,0.459731428732983,0.735303841866758,1,"Stable","Stable"
"Mcavernosa25852-RA",1.49368321332512,2.79023483871941,2.95337089745458,0.0856986333493049,0.557251689217917,1,"Stable","Stable"
"Mcavernosa25853-RA",-1.15136593823906,2.81410375492897,0.255485227154939,0.613238970633458,0.837460676507364,1,"Stable","Stable"
"Mcavernosa25954-RA",-1.34585144439895,5.2162258954725,1.11810079719478,0.290327769228574,0.628166202784882,1,"Stable","Stable"
"Mcavernosa25955-RA",-0.515700406544152,7.99375014205854,0.299465915666353,0.584217437521919,0.818350604122,1,"Stable","Stable"
"Mcavernosa26041-RA",-0.771211586138043,3.9984294932921,0.152781105595139,0.695891676426468,0.879739927955325,1,"Stable","Stable"
"Mcavernosa26047-RA",1.83072212127338,3.01674077024127,0.710377043173605,0.399318671116856,0.708155592455198,1,"Stable","Stable"
"Mcavernosa26048-RA",-1.8840645609417,3.72181594993871,1.01470313687411,0.313778743420277,0.641439135421361,1,"Stable","Stable"
"Mcavernosa26049-RA",0.888041045660448,2.80476344084701,0.290451642516731,0.589931252435858,0.821976382217455,1,"Stable","Stable"
"Mcavernosa26050-RA",0.306973955167737,2.79424348300499,0.0229589228818323,0.879563941047496,0.962657239423226,1,"Stable","Stable"
"Mcavernosa26051-RA",1.36437555901091,7.10985919978144,0.950264606708139,0.329651953101903,0.652878142091298,1,"Stable","Stable"
"Mcavernosa26052-RA",-3.17891051739589,3.51325982612523,4.31449494426947,0.0377889869486701,0.535257396341628,1,"Stable","Stable"
"Mcavernosa26055-RA",1.72725769254444,2.85045146069875,1.80831296549204,0.178710738107495,0.597224565178458,1,"Stable","Stable"
"Mcavernosa26056-RA",0.0657980776164153,3.65489484916951,0.00356934527622244,0.95235952910009,0.992256113469,1,"Stable","Stable"
"Mcavernosa26058-RA",-3.20524397492705,3.11221514245499,3.29569305718462,0.0694617887227294,0.557251689217917,1,"Stable","Stable"
"Mcavernosa26059-RA",0.975043727675533,11.9352482285257,2.22970271823848,0.13537989328841,0.557251689217917,1,"Stable","Stable"
"Mcavernosa26071-RA",1.23420191204851,2.78021044591682,1.95289954373937,0.1622747396261,0.587518856012523,1,"Stable","Stable"
