"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf"
"Mcavernosa21374",5.09294567188674,2.31043256911191,3.38365663263733,0.0658458167886335,0.315289415717258,1
"Mcavernosa21375",-3.30087213044571,4.74279695069831,7.65080821534104,0.00567468922911021,0.169650353451764,1
"Mcavernosa21382",-0.623097608863173,1.90853136017483,0.22432213467557,0.635766219687027,0.824365369920118,1
"Mcavernosa21383",-0.41577737090548,1.71208614481251,0.0469666301228706,0.828428229797344,0.957531028155606,1
"Mcavernosa21384",-3.71848879008179,4.30053656170432,8.58406757071833,0.00339116993740845,0.151971308417625,1
"Mcavernosa21385",1.92474168941482,6.2561491664919,1.06326630241458,0.302471397616658,0.554608492192267,1
"Mcavernosa21386",-2.06712704211463,3.4105826760569,2.6282702759853,0.104976019960907,0.370456849901542,1
"Mcavernosa21389",0.166797746149508,1.5139737241282,0.00812828123099241,0.928162469207738,1,1
"Mcavernosa21391",1.70279589089861,1.24517052426166,1.97059003616109,0.160385246884489,0.433684837501741,1
"Mcavernosa21392",-0.00521976546718441,3.16633000098519,2.34052910457194e-05,0.996139928134093,1,1
"Mcavernosa21393",0.296051183863899,6.87795479092245,0.0380263230686975,0.845390291811909,0.968159944294769,1
"Mcavernosa21394",0,1.12422133588168,0,1,1,1
"Mcavernosa21395",0.119163347082365,4.29712484110417,0.0115083996154137,0.914569064606241,1,1
"Mcavernosa21397",-0.0587050730493011,4.9208694380108,0.00219684624442884,0.962616418797911,1,1
"Mcavernosa21398",1.48195208337015,1.82240228917511,1.41810282141547,0.23371592189701,0.490150747452276,1
"Mcavernosa21400",0.0964938396043062,9.94964405290377,0.0110118859970214,0.916425375719407,1,1
"Mcavernosa21401",-1.65635335152777,2.11337131996965,0.813946061889075,0.366956162145211,0.6199396492844,1
"Mcavernosa21405",0,1.12422133588168,0,1,1,1
"Mcavernosa21406",-1.72096588491827,5.46281297344893,1.6117420835121,0.204247091664238,0.455245960443305,1
"Mcavernosa21408",4.82484528604918,3.09339559579389,3.1578206371137,0.0755639976538967,0.328449875875705,1
"Mcavernosa21409",1.29490764024787,7.37266092657083,0.784399313300773,0.375799041288552,0.626466095297557,1
"Mcavernosa21410",4.70682921403157,6.66438018282909,3.98145903557268,0.0460036983836636,0.282963654831473,1
"Mcavernosa21412",-0.960146287929671,5.0959226842215,0.527866756916307,0.467505102440146,0.69047006519642,1
"Mcavernosa21414",1.13238636475518,3.88319966459118,0.52314576046389,0.469502866239742,0.692085828262928,1
"Mcavernosa21415",-1.00961750767771,1.3846395755009,0.295486901507023,0.586725660173509,0.786236585553426,1
"Mcavernosa21417",1.54062241525578,1.2114578656531,1.83883978736584,0.17508699215255,0.435194103533493,1
"Mcavernosa21418",0.558530511222928,1.34828612016989,0.128699252509104,0.71978452889421,0.883351983467545,1
"Mcavernosa21420",6.53773361270266,3.28035463827877,4.57557323686353,0.0324308935621183,0.259218928970697,1
"Mcavernosa21421",2.52876164429802,4.3945087290129,1.4499466021555,0.228536520836486,0.483792221888053,1
"Mcavernosa21422",2.22025982962905,4.82591575931331,2.54235837834046,0.11082913470789,0.380578962410212,1
"Mcavernosa21423",-1.8111252565893,1.2131474723277,1.59107762340448,0.207172239053507,0.458710708671845,1
"Mcavernosa21425",1.5900864072541,5.55034988356981,0.808844720556781,0.368462029972301,0.621455427252897,1
"Mcavernosa21427",0.0417262419880907,1.8179595125975,0.000391373471829048,0.984216350575573,1,1
"Mcavernosa21429",-3.32235906530597,4.81991508619736,8.45692808904007,0.00363655534437262,0.153796883025715,1
"Mcavernosa21431",-2.79105016974844,1.33771226548845,1.42011814211902,0.233383958443306,0.489985198956365,1
"Mcavernosa21433",-0.784608560765532,1.33537239120082,0.275138754617557,0.599905297456158,0.796875813905026,1
"Mcavernosa21434",3.03142139177285,2.30622087886705,3.53211845775328,0.0601908365688767,0.306379662779854,1
"Mcavernosa21436",-0.0898822067437778,1.38109655808737,0.00766469929102609,0.930235720091727,1,1
"Mcavernosa21438",7.99365316404491,4.54987978983873,6.10772780994758,0.0134592051288771,0.19949136538979,1
