"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf"
"Mcavernosa14484",4.18263573707854,1.2393486835684,0.417240585952614,0.518317159483725,0.851751293937918,1
"Mcavernosa14486",0.817852603389771,3.30160214981065,0.0790632802589932,0.778570860149973,0.934616301832702,1
"Mcavernosa14490",-1.11573007388435,4.96537022071847,0.337042294146503,0.561541461454252,0.851751293937918,1
"Mcavernosa14491",3.78824414327426,1.04818889410895,0.383373639893413,0.535803228705175,0.851751293937918,1
"Mcavernosa14492",2.98295147858596,0.746304612710989,0.45736984082847,0.498855753649527,0.851751293937918,1
"Mcavernosa14493",6.34394098112927,2.6279945916,1.12807379117158,0.288186575909061,0.851751293937918,1
"Mcavernosa14494",0,0.346692925437365,0,1,1,1
"Mcavernosa14495",8.06654548194394,4.11372324580349,2.85003974424048,0.0913716778917529,0.529945777095303,1
"Mcavernosa14496",5.84750590240004,2.24850866835069,0.975931110526247,0.323205418201702,0.851751293937918,1
"Mcavernosa14497",2.82049869292853,0.71702114817748,0.412638425126302,0.520633373700951,0.851751293937918,1
"Mcavernosa14498",9.01019972283819,5.00268262237798,2.99756737478638,0.0833896390875461,0.507303300301552,1
"Mcavernosa14499",6.8926233860522,3.06999414722929,1.7269102126921,0.188805973399064,0.745293931016024,1
"Mcavernosa14500",5.7611844922812,6.29225148753662,6.12228364351155,0.0133488243536785,0.202479271639488,1
"Mcavernosa14501",-4.56569961619317,0.716159900100433,3.50378732697458,0.061228655948294,0.432574906373417,1
"Mcavernosa14502",2.73253861755048,4.36329821575224,1.01873427727967,0.312819430368983,0.851751293937918,1
"Mcavernosa14504",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14506",6.38670161491296,2.65535518465359,1.39738731683135,0.237161509175574,0.813621778480199,1
"Mcavernosa14507",7.22854271402364,3.3588048611801,1.94511452239903,0.163114281654562,0.700901087622669,1
"Mcavernosa14510",1.78846915804207,0.532816810335543,0.187911668088497,0.664660431220218,0.851751293937918,1
"Mcavernosa14511",4.27711000635409,1.27958291112447,0.534779625061718,0.464604308260013,0.851751293937918,1
"Mcavernosa14512",0,0.346692925437365,0,1,1,1
"Mcavernosa14513",7.15625931003758,3.29614675703485,1.94157008127,0.163498158504584,0.701566442796738,1
"Mcavernosa14517",-5.53491331116136,1.02675323350354,4.37697601249145,0.0364275705016188,0.353355409304312,1
"Mcavernosa14518",6.27706602006634,2.56185367373637,0.956214533766801,0.328142469641829,0.851751293937918,1
"Mcavernosa14519",9.66443999747715,5.63585952262788,6.07694028484774,0.0136957783067289,0.20550376378788,1
"Mcavernosa14520",4.5123410955711,1.40505509624299,0.508713053982205,0.475696496466994,0.851751293937918,1
"Mcavernosa14521",1.11565107071822,2.25087617221786,0.0998717498058366,0.751983593588407,0.909420880638613,1
"Mcavernosa14522",2.98295147858596,0.746304612710989,0.45736984082847,0.498855753649527,0.851751293937918,1
"Mcavernosa14523",7.76772989793656,3.83949724948526,2.59427342335853,0.107250613447917,0.575204515645379,1
"Mcavernosa14524",6.750891012002,2.94784618436842,1.34767957099361,0.245684187297698,0.816991368492127,1
"Mcavernosa14525",0.365735523764565,1.80496618297996,0.00958173335339674,0.922022555937136,1,1
"Mcavernosa14526",-0.0852813566821403,1.57961782446996,0.000633647487621625,0.979917486983911,1,1
"Mcavernosa14527",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14528",4.9492237900503,5.50471011956757,3.70481528076897,0.0542556766253094,0.432574906373417,1
"Mcavernosa14530",7.63904158248048,3.7232414119699,2.30892828701981,0.128632712358238,0.631153917250649,1
"Mcavernosa14531",2.82049869292853,0.71702114817748,0.412638425126302,0.520633373700951,0.851751293937918,1
"Mcavernosa14532",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14535",2.66607902690502,0.65766911397118,0.382760947843676,0.536129315200614,0.851751293937918,1
"Mcavernosa14536",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14538",2.98295147858596,0.746304612710989,0.45736984082847,0.498855753649527,0.851751293937918,1
"Mcavernosa14539",2.07489505596874,2.9405155234485,0.345977213821886,0.556399213332809,0.851751293937918,1
"Mcavernosa14541",9.07610847988186,5.06722477904657,3.35896662223491,0.0668399990108923,0.452393705426627,1
"Mcavernosa14542",7.2364735380807,3.36634556830333,2.02203141052367,0.155031619132506,0.685117060477987,1
"Mcavernosa14543",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14545",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14546",5.43660650858298,6.93011505124645,7.82801417320952,0.00514425870287046,0.111192737002972,1
"Mcavernosa14547",2.03329853230498,8.65287796629904,2.31435845125446,0.128184177750229,0.630251121146622,1
"Mcavernosa14548",2.23982415164318,0.562368183731589,0.287020404654686,0.592136282492419,0.851751293937918,1
"Mcavernosa14549",0,0.346692925437365,0,1,1,1
"Mcavernosa14550",2.97340274382094,8.86651737519267,3.74383058333006,0.0530028037583722,0.428539260251515,1
"Mcavernosa14551",2.66607902690502,0.65766911397118,0.382760947843676,0.536129315200614,0.851751293937918,1
"Mcavernosa14552",3.14545457064122,4.73754548782851,1.48085747197538,0.223640411041827,0.801296385469297,1
"Mcavernosa14553",6.8829706610663,3.06596205540314,1.49022149165838,0.222182097345886,0.799736197967179,1
"Mcavernosa14555",4.75249919925607,1.53104194741529,0.675602596341975,0.41110507951273,0.851751293937918,1
"Mcavernosa14557",-4.56569961619317,0.716159900100433,3.50378732697458,0.061228655948294,0.432574906373417,1
"Mcavernosa14558",3.14036125546054,0.829199216776813,0.215331870393779,0.642620053568168,0.851751293937918,1
"Mcavernosa14559",2.60411382033971,0.686681086339049,0.353222763475812,0.55229444689288,0.851751293937918,1
"Mcavernosa14560",3.14033843471064,0.829199216776813,0.215192276901377,0.64272783598558,0.851751293937918,1
"Mcavernosa14561",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa14562",1.00938815490429,4.90311325708109,0.207793994313718,0.648501970425654,0.851751293937918,1
"Mcavernosa14563",7.08793988447059,3.23546683397912,1.57686778406416,0.209212441404479,0.777323370056287,1
"Mcavernosa14564",0,0.346692925437365,0,1,1,1
"Mcavernosa14567",1.98817685160409,6.47209328711637,1.41804768417008,0.233725012116371,0.813621778480199,1
"Mcavernosa14569",-0.459810082931489,6.74604590957942,0.078828598290853,0.778891178724446,0.934948477535105,1
"Mcavernosa14573",-0.256150833711987,4.3391372150482,0.0145583052177549,0.903962083738612,1,1
"Mcavernosa14576",9.10994561259455,5.09907357634272,3.5710039514299,0.0587967535599742,0.432574906373417,1
"Mcavernosa14577",2.11005312813422,2.96901714742022,0.39740074149717,0.528434684348149,0.851751293937918,1
"Mcavernosa14578",2.42667269813822,0.631038856631306,0.319045619860161,0.57218175768782,0.851751293937918,1
"Mcavernosa14579",-4.6585512176098,5.39762303308015,6.20490757457967,0.0127396600963531,0.197515395362259,1
