"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"LOC110052861",-1.00088337184456,0.0791475878162778,1.60368916429317,0.205381184949634,0.541669934676772,1,"Stable","Stable"
"LOC110052862",0.0511313235704116,2.80901034118495,0.012317804887342,0.911627760428689,0.969404619103965,1,"Stable","Stable"
"LOC110052821",-0.305422272041428,4.39654104221104,0.631530617558866,0.426794428627756,0.72613203817298,1,"Stable","Stable"
"LOC110052822",0.374602766893935,5.13837239565078,1.00448911199947,0.316226706834092,0.649174538144315,1,"Stable","Stable"
"LOC110052794",-0.106959674624742,6.20864665522379,0.102126912518578,0.749292032641476,0.905685124897481,1,"Stable","Stable"
"LOC110052863",0.12351636649543,1.72109135280081,0.0313926423510473,0.8593672487346,0.950449052605338,1,"Stable","Stable"
"LOC110052788",0.70895086306467,1.10129715303094,0.722591338331526,0.395295216488307,0.702738032707105,1,"Stable","Stable"
"LOC110052744",-0.896186614720132,0.301062775641435,0.516785248720494,0.472216234255365,0.757418159224022,1,"Stable","Stable"
"LOC110052739",-0.298074194180819,4.07758691458739,0.487332748553303,0.48511952281991,0.765353177804866,1,"Stable","Stable"
"LOC110052742",0.688417546408526,4.94505806051409,2.49299303289953,0.114354068942015,0.428182291121445,1,"Stable","Stable"
"LOC110052743",-0.515739528563481,1.33328346746026,0.599918136000831,0.438609262609035,0.735501897932308,1,"Stable","Stable"
"LOC110052740",-0.595800424172709,4.70738900905524,1.42864667455841,0.231985428921366,0.566814488538559,1,"Stable","Stable"
"LOC110052738",-0.615424544279478,6.28242909719297,2.57766738265584,0.108381270309622,0.420573949606129,1,"Stable","Stable"
"LOC110052804",-0.793844214019976,7.61007065212295,8.03087391422994,0.00459866461905615,0.0804434525422862,1,"Stable","Stable"
"LOC110052806",0.277267073327339,7.14272443527434,0.551869384394308,0.457554869165114,0.749093430393125,1,"Stable","Stable"
"LOC110052839",-0.448565683360201,4.86919788555294,1.2461946734055,0.264280520529171,0.600222789529913,1,"Stable","Stable"
"LOC110052840",-0.26013534717395,4.35184208980908,0.359530708247135,0.54876698368547,0.80295914767325,1,"Stable","Stable"
"LOC110052824",1.57906186277555,4.92891953437672,9.6266550310383,0.00191773557762198,0.0458649596294435,1,"Up","Stable"
"LOC110052825",0.673270111459714,3.0903384368564,2.06042705279061,0.151167799693259,0.482521968960674,1,"Stable","Stable"
"LOC110052828",-0.359749373465403,1.81348794592294,0.291629725332079,0.589178051890225,0.825273193951592,1,"Stable","Stable"
"LOC110052829",0.175248016403306,5.38872048214445,0.24459929183303,0.620903820887992,0.84323374983488,1,"Stable","Stable"
"LOC110052832",-0.269583594997142,4.33125265085193,0.236772467741616,0.626546989039044,0.84734180675638,1,"Stable","Stable"
"LOC110052831",0.472496738656147,1.7746245651712,0.356607913745353,0.550396175401129,0.804107873361239,1,"Stable","Stable"
"LOC110052833",0.109147987772231,1.76661002171306,0.0224475299520073,0.880902686608775,0.959669970312972,1,"Stable","Stable"
"LOC110052835",0.290324874775871,6.0894563851441,0.506940538371914,0.476466281345551,0.760197722549787,1,"Stable","Stable"
"LOC110052834",-0.231061644350133,7.3305495119689,0.328068749313687,0.566798497378123,0.812913974916367,1,"Stable","Stable"
"LOC110052836",1.03101365951889,4.14802089195943,1.65755598648277,0.197933632976132,0.534648996786923,1,"Stable","Stable"
"LOC110052864",-3.51029585423862,0.515842289936648,4.05059546774201,0.0441557668311004,0.285253903348488,1,"Stable","Stable"
"LOC110052865",-1.04630385642423,3.58225928780198,5.2382524706945,0.0220954581479268,0.200378957568471,1,"Stable","Stable"
"LOC110052866",0.0195838808923397,4.68413785192606,0.00162439102170353,0.967850976429645,0.990117811536701,1,"Stable","Stable"
"LOC110052918",0.00238932054835216,0.681534529522279,7.9119096696445e-07,0.999290290425279,0.999790705439745,1,"Stable","Stable"
"LOC110052923",0.434672581321909,2.85585520850209,0.761776059337262,0.382773280340472,0.694556633796461,1,"Stable","Stable"
"LOC110052924",0.508453630148293,1.63549991994966,0.678364263465205,0.410150553749994,0.713471323591762,1,"Stable","Stable"
"LOC110052867",0.965912574510057,1.55705693176405,1.6549209174546,0.198290489075565,0.534648996786923,1,"Stable","Stable"
"LOC110052703",-0.603417667085832,5.17963118322791,3.03265927434794,0.0816041685483377,0.375133640655925,1,"Stable","Stable"
"LOC110052729",0.0490415658472407,3.88381003027148,0.0141087115306924,0.905449577040275,0.967470969926497,1,"Stable","Stable"
"LOC110052908",1.7097713752891,2.68412350191745,4.02320512926153,0.0448783492517319,0.287246970225191,1,"Stable","Stable"
"LOC110052909",0.501084835042416,2.44532279460828,0.458360034474289,0.498391412163898,0.773003711222556,1,"Stable","Stable"
"LOC110052774",-0.460827742031376,4.17102775345879,1.17791190023041,0.277781501454821,0.613734347583511,1,"Stable","Stable"
"LOC110052777",0.0142592527460653,3.99837497196949,0.000917455367243747,0.97583615002057,0.991970438651318,1,"Stable","Stable"
"LOC110052778",-1.02737278286292,3.66806083436632,3.38175572718219,0.0659217957164698,0.342711529252176,1,"Stable","Stable"
"LOC110052779",1.06200562389451,2.36051665304749,1.9966768598266,0.157644502350496,0.491477692899945,1,"Stable","Stable"
"LOC110052776",0.636136753190149,3.72767940481966,1.37813060039282,0.240419830876206,0.576798554096856,1,"Stable","Stable"
"LOC110052772",2.40887611933656,5.25305365889742,19.1677103886917,1.19721507731342e-05,0.000996643179585299,0.310952672030613,"Up","Stable"
"LOC110052773",-0.544305390161702,1.86454067813437,0.806454976453317,0.369170417944933,0.683913214356901,1,"Stable","Stable"
"LOC110052775",-0.149482303948488,2.42313746847387,0.116631171071447,0.732717373750012,0.898067437416813,1,"Stable","Stable"
"LOC110052868",-0.247773178433568,4.81251823505733,0.584946432780125,0.444379982396038,0.73937692559177,1,"Stable","Stable"
"LOC110052915",0.86824103124973,3.8764300717943,3.24849650196515,0.0714890052416281,0.355024156679492,1,"Stable","Stable"
"LOC110052870",-0.965893323454017,6.84948460159487,4.1086272373827,0.0426649798720808,0.281524525414783,1,"Stable","Stable"
"LOC110052736",-0.748393268358804,1.63491079060849,1.24012172973022,0.265447594827131,0.601403887045899,1,"Stable","Stable"
"LOC110052827",0.874994338370753,4.07903089914905,2.83886467851818,0.0920092026465055,0.395304923180812,1,"Stable","Stable"
"LOC110052789",-0.433888508828462,2.99281378315009,1.23583981491451,0.266274331893626,0.602434078595222,1,"Stable","Stable"
"LOC110052791",0.622916209985213,1.60245618180294,0.534241714745157,0.464828993349455,0.753431093979359,1,"Stable","Stable"
"LOC110052871",-1.30532337283426,0.990678840903687,1.69927150252026,0.192383276252139,0.529511500238464,1,"Stable","Stable"
"LOC110052872",0.0206814660082434,4.4928845285037,0.0045106520718079,0.946453223401577,0.982860956143736,1,"Stable","Stable"
"LOC110052929",1.47221401290439,2.46516952390888,5.61128342491952,0.0178451880817452,0.178458045774752,1,"Stable","Stable"
"LOC110052931",0.573519899821769,4.04292490454736,2.41228746635123,0.120386338758541,0.436445247702766,1,"Stable","Stable"
"LOC110052735",0.769126009361069,2.44130646107242,1.35084918123783,0.245129716661324,0.581750668405839,1,"Stable","Stable"
